target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 1B,400,0.45,0.22,0.24,0.09,0.1984688,-0.1984688,0.9289318095402753,0.025630352387392818,0.0020904595369928575,0.0017600000000000007,0.002390000000000002,0.7168299999999996,0.27902,0.004150000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,410,0.45,0.22,0.24,0.09,0.1986657,-0.1986657,0.9308088544349282,0.02658809170182551,0.0022124586578365513,0.002170000000000001,0.004650000000000004,0.7152000000000001,0.27797999999999984,0.006820000000000005,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,420,0.45,0.22,0.24,0.09,0.19870919999999997,-0.19870919999999997,0.9274678612975065,0.02651973811865079,0.0020102287934813338,0.0023000000000000013,0.004890000000000003,0.7149699999999994,0.2778400000000001,0.007190000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,430,0.45,0.22,0.24,0.09,0.19856779999999996,-0.19856779999999996,0.9348057661402904,0.032286816402114386,0.0022294003034390424,0.001890000000000001,0.0038300000000000027,0.7159299999999993,0.27834999999999993,0.005720000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,440,0.45,0.22,0.24,0.09,0.19853299999999996,-0.19853299999999996,0.9395887652428808,0.0326348580654905,0.0020759327865401238,0.0017100000000000006,0.0036800000000000027,0.7162599999999998,0.2783499999999997,0.005390000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,450,0.45,0.22,0.24,0.09,0.19851169999999999,-0.19851169999999999,0.9461837681579724,0.034646351034396554,0.002404945218142053,0.0018500000000000012,0.002690000000000002,0.7166399999999988,0.27882000000000007,0.004540000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,460,0.45,0.22,0.24,0.09,0.1984114,-0.1984114,0.9455020953787393,0.035347631570100624,0.0016334810441151362,0.0014500000000000006,0.002380000000000002,0.7171999999999993,0.27897,0.0038300000000000027,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,470,0.45,0.22,0.24,0.09,0.1985775,-0.1985775,0.947499178189287,0.0391155280446387,0.0022499648592611728,0.0020500000000000006,0.0033000000000000017,0.7160699999999994,0.27858,0.005350000000000002,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,480,0.45,0.22,0.24,0.09,0.1985015,-0.1985015,0.9494601288526926,0.042498408184825906,0.0018877334395971887,0.001680000000000001,0.0032900000000000017,0.7164599999999998,0.27857000000000004,0.004970000000000002,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,490,0.45,0.22,0.24,0.09,0.198651,-0.198651,0.9513123735886085,0.0399148641823781,0.002480759145725444,0.002180000000000001,0.004140000000000002,0.7155199999999995,0.2781599999999998,0.006320000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,499,0.45,0.22,0.24,0.09,0.19868139999999998,-0.19868139999999998,0.9542221161767946,0.04040298517813736,0.0023919753742061636,0.0023100000000000013,0.004210000000000003,0.7153499999999997,0.27813,0.006520000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
